what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1342207289763
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1342207289768
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1342207289769
started,bundle,com.google.gdt.eclipse.core,2.6.1.v201205091048-rel-r37,"com.google.gdt.eclipse.core",1342207289769
started,bundle,com.google.gdt.eclipse.login,2.6.1.v201205091048-rel-r37,"com.google.gdt.eclipse.login",1342207289770
started,bundle,com.google.gdt.eclipse.managedapis,2.6.1.v201205091048-rel-r37,"com.google.gdt.eclipse.managedapis",1342207289770
started,bundle,com.google.gdt.eclipse.suite.ext,2.6.1.v201205091048-rel-r37,"com.google.gdt.eclipse.suite.ext",1342207289771
started,bundle,org.jboss.tools.forge.ui,1.0.0.v20120611-1732-H94-Final,"org.jboss.tools.forge.ui",1342207289771
started,bundle,org.jboss.tools.project.examples,1.2.1.v20120612-0012-H106-Final,"org.jboss.tools.project.examples",1342207289772
started,bundle,org.jboss.tools.runtime.ui,1.3.0.v20120611-2354-H105-Final,"org.jboss.tools.runtime.ui",1342207289772
os,sysinfo,,,"linux",1342207289779
arch,sysinfo,,,"x86_64",1342207289779
ws,sysinfo,,,"gtk",1342207289779
locale,sysinfo,,,"en_US",1342207289779
processors,sysinfo,,,"4",1342207289779
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1342207289779
java.runtime.version,sysinfo,,,"1.7.0_04-b20",1342207289779
java.specification.name,sysinfo,,,"Java Platform API Specification",1342207289779
java.specification.vendor,sysinfo,,,"Oracle Corporation",1342207289779
java.specification.version,sysinfo,,,"1.7",1342207289779
java.vendor,sysinfo,,,"Oracle Corporation",1342207289779
java.version,sysinfo,,,"1.7.0_04",1342207289779
java.vm.info,sysinfo,,,"mixed mode",1342207289779
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1342207289779
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342207289780
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1342207289780
java.vm.specification.version,sysinfo,,,"1.7",1342207289780
java.vm.vendor,sysinfo,,,"Oracle Corporation",1342207289780
java.vm.version,sysinfo,,,"23.0-b21",1342207289780
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1342207289804
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1342207289847
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1342207290321
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1342207290655
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1342207290766
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201112290923,"org.eclipse.wb.core.lib",1342207290819
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1342207290820
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1342207290865
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1342207290974
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1342207291115
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1342207291457
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1342207291650
started,bundle,org.eclipse.wb.core,1.2.0.r37x201112290923,"org.eclipse.wb.core",1342207291879
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1342207291894
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1342207291896
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1342207291903
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1342207291972
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1342207292002
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1342207292163
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1342207292193
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1342207292234
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1342207292488
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1342207292509
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1342207292663
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1342207292741
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1342207292985
started,bundle,org.eclipse.jst.common.frameworks,1.1.501.v201201190400,"org.eclipse.jst.common.frameworks",1342207293007
started,bundle,com.google.gdt.eclipse.designer,2.5.0.r37x201112291029,"com.google.gdt.eclipse.designer",1342207293379
started,bundle,org.eclipse.jst.j2ee.web,1.1.502.v201202090300,"org.eclipse.jst.j2ee.web",1342207293633
started,bundle,com.google.gdt.eclipse.designer.hosted,2.5.0.r37x201112291019,"com.google.gdt.eclipse.designer.hosted",1342207293634
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.5.0.r37x201112291029,"com.google.gdt.eclipse.designer.UiBinder",1342207293635
started,bundle,org.jboss.ide.eclipse.as.core,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.core",1342207293636
started,bundle,org.jboss.ide.eclipse.as.classpath.core,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.classpath.core",1342207293636
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1342207293965
started,bundle,de.odysseus.stan.eclipse,2.0.3.v20120309,"de.odysseus.stan.eclipse",1342207294319
started,bundle,de.odysseus.stan.eclipse.perspective,2.0.3.v20120309,"de.odysseus.stan.eclipse.perspective",1342207294350
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1342207294433
started,bundle,org.jboss.ide.eclipse.archives.core,3.2.1.v20120611-1725-H88-Final,"org.jboss.ide.eclipse.archives.core",1342207294603
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.archives.webtools",1342207294626
started,bundle,com.google.gdt.eclipse.platform.shared,2.6.1.v201205091048-rel-r37,"com.google.gdt.eclipse.platform.shared",1342207294678
started,bundle,org.jboss.ide.eclipse.as.ui,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.ui",1342207294963
started,bundle,org.jboss.tools.central,1.0.0.v20120612-0053-H99-Final,"org.jboss.tools.central",1342207295091
started,bundle,org.jboss.tools.common,3.3.0.v20120611-1634-H74-Final,"org.jboss.tools.common",1342207295748
started,bundle,org.jboss.tools.common.model,3.3.0.v20120611-1634-H74-Final,"org.jboss.tools.common.model",1342207296049
started,bundle,org.jboss.tools.forge.core,1.0.0.v20120611-1732-H94-Final,"org.jboss.tools.forge.core",1342207296050
started,bundle,org.jboss.tools.maven.sourcelookup.ui,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.sourcelookup.ui",1342207296066
started,bundle,org.jboss.tools.maven.sourcelookup.core,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.sourcelookup.core",1342207296104
started,bundle,org.jboss.tools.usage,1.1.0.v20120611-1654-H68-Final,"org.jboss.tools.usage",1342207296167
started,bundle,com.google.gwt.eclipse.core,2.6.1.v201205091048-rel-r37,"com.google.gwt.eclipse.core",1342207296468
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1342207296556
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1342207296596
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1342207297155
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1342207297325
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1342207297350
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.wtp.core",1342207297373
started,bundle,org.maven.ide.eclipse.wtp.overlay,0.15.2.20120306-2040,"org.maven.ide.eclipse.wtp.overlay",1342207297788
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1342207297918
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1342207297926
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1342207300041
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1342207300075
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1342207300103
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1342207300114
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1342207300125
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1342207300145
started,bundle,org.jboss.tools.maven.project.examples,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.project.examples",1342207307483
opened,editor,org.jboss.tools.central,1.0.0.v20120612-0053-H99-Final,"org.jboss.tools.central.editors.JBossCentralEditor",1342207311063
activated,editor,org.jboss.tools.central,1.0.0.v20120612-0053-H99-Final,"org.jboss.tools.central.editors.JBossCentralEditor",1342207311120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342207363186
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1342207363197
activated,editor,org.jboss.tools.central,1.0.0.v20120612-0053-H99-Final,"org.jboss.tools.central.editors.JBossCentralEditor",1342207365408
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1342207365435
closed,editor,org.jboss.tools.central,1.0.0.v20120612-0053-H99-Final,"org.jboss.tools.central.editors.JBossCentralEditor",1342207365447
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342207366988
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1342207367355
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.ui.mbeans",1342207367381
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1342207367631
