what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.runtime.ui,1.3.0.v20120611-2354-H105-Final,"org.jboss.tools.runtime.ui",1342624229805
os,sysinfo,,,"linux",1342624229809
arch,sysinfo,,,"x86_64",1342624229809
ws,sysinfo,,,"gtk",1342624229809
locale,sysinfo,,,"en_US",1342624229809
processors,sysinfo,,,"4",1342624229809
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1342624229809
java.runtime.version,sysinfo,,,"1.7.0_04-b20",1342624229809
java.specification.name,sysinfo,,,"Java Platform API Specification",1342624229809
java.specification.vendor,sysinfo,,,"Oracle Corporation",1342624229809
java.specification.version,sysinfo,,,"1.7",1342624229809
java.vendor,sysinfo,,,"Oracle Corporation",1342624229809
java.version,sysinfo,,,"1.7.0_04",1342624229809
java.vm.info,sysinfo,,,"mixed mode",1342624229809
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1342624229809
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342624229809
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1342624229809
java.vm.specification.version,sysinfo,,,"1.7",1342624229809
java.vm.vendor,sysinfo,,,"Oracle Corporation",1342624229809
java.vm.version,sysinfo,,,"23.0-b21",1342624229809
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1342624229871
started,bundle,com.google.gdt.eclipse.platform.shared,2.6.1.v201205091048-rel-r37,"com.google.gdt.eclipse.platform.shared",1342624230107
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1342624231045
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1342624231404
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201112290923,"org.eclipse.wb.core.lib",1342624231721
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1342624231750
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1342624231849
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1342624231863
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1342624231896
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1342624231908
started,bundle,org.eclipse.wb.core,1.2.0.r37x201112290923,"org.eclipse.wb.core",1342624232425
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1342624232495
started,bundle,com.google.gwt.eclipse.core,2.6.1.v201205091048-rel-r37,"com.google.gwt.eclipse.core",1342624232789
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1342624233133
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1342624233184
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1342624233358
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.wtp.core",1342624233649
started,bundle,org.maven.ide.eclipse.wtp.overlay,0.15.2.20120306-2040,"org.maven.ide.eclipse.wtp.overlay",1342624233668
started,bundle,com.google.gdt.eclipse.designer,2.5.0.r37x201112291029,"com.google.gdt.eclipse.designer",1342624233904
started,bundle,com.google.gdt.eclipse.designer.hosted,2.5.0.r37x201112291019,"com.google.gdt.eclipse.designer.hosted",1342624234084
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.5.0.r37x201112291029,"com.google.gdt.eclipse.designer.UiBinder",1342624235086
