what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1342207715570
started,bundle,org.jboss.tools.vpe.xulrunner,3.3.0.v20120611-1821-H102-Final,"org.jboss.tools.vpe.xulrunner",1342207716623
started,bundle,org.jboss.tools.jst.css,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.css",1342207719230
started,bundle,org.jboss.tools.common.resref.core,3.3.0.v20120611-1634-H74-Final,"org.jboss.tools.common.resref.core",1342207719372
started,bundle,org.jboss.tools.vpe.resref,3.3.0.v20120611-1821-H102-Final,"org.jboss.tools.vpe.resref",1342207719373
opened,editor,org.jboss.tools.jst.jsp,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1342207719498
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1342207719629
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1342207720247
started,bundle,org.jboss.tools.vpe.ui.palette,3.3.0.v20120611-1821-H102-Final,"org.jboss.tools.vpe.ui.palette",1342207720277
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1342207720422
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342207721108
started,bundle,org.jboss.tools.jsf.vpe.jsf,3.3.0.v20120611-2148-H115-Final,"org.jboss.tools.jsf.vpe.jsf",1342207721478
started,bundle,org.jboss.tools.jsf.vpe.ajax4jsf,3.3.0.v20120611-2148-H115-Final,"org.jboss.tools.jsf.vpe.ajax4jsf",1342207722656
started,bundle,org.jboss.tools.jsf.vpe.facelets,3.3.0.v20120611-2148-H115-Final,"org.jboss.tools.jsf.vpe.facelets",1342207722762
started,bundle,org.jboss.tools.jsf.vpe.jbpm,3.3.0.v20120611-2148-H115-Final,"org.jboss.tools.jsf.vpe.jbpm",1342207722834
started,bundle,org.jboss.tools.jsf.vpe.richfaces,3.3.0.v20120611-2148-H115-Final,"org.jboss.tools.jsf.vpe.richfaces",1342207722952
started,bundle,org.jboss.tools.jsf.vpe.jstl,3.3.0.v20120611-2148-H115-Final,"org.jboss.tools.jsf.vpe.jstl",1342207722953
started,bundle,org.jboss.tools.jsf.vpe.myfaces,3.3.0.v20120611-2148-H115-Final,"org.jboss.tools.jsf.vpe.myfaces",1342207722991
started,bundle,org.jboss.tools.jsf.vpe.seam,3.3.0.v20120611-2148-H115-Final,"org.jboss.tools.jsf.vpe.seam",1342207723449
started,bundle,org.jboss.tools.vpe.docbook,3.3.0.v20120611-1821-H102-Final,"org.jboss.tools.vpe.docbook",1342207723681
started,bundle,org.jboss.tools.vpe.html,3.3.0.v20120611-1821-H102-Final,"org.jboss.tools.vpe.html",1342207723837
started,bundle,org.jboss.tools.vpe.spring,3.3.0.v20120611-1821-H102-Final,"org.jboss.tools.vpe.spring",1342207723900
started,bundle,org.jboss.tools.jst.web.kb,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.web.kb",1342207725626
started,bundle,org.hibernate.eclipse.console,3.4.0.v20120611-2017-H93-Final,"org.hibernate.eclipse.console",1342207725874
started,bundle,com.google.appengine.eclipse.core,2.6.1.v201205091048-rel-r37,"com.google.appengine.eclipse.core",1342207726389
started,bundle,com.google.gdt.eclipse.appengine.rpc,2.6.1.v201205091048-rel-r37,"com.google.gdt.eclipse.appengine.rpc",1342207726420
started,bundle,org.hibernate.eclipse.jdt.ui,3.4.0.v20120611-2017-H93-Final,"org.hibernate.eclipse.jdt.ui",1342207726472
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1342207726527
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1342207727919
activated,view,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef.ui.palette_view",1342207730257
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1342207730365
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1342207732035
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1342207732068
started,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1342207732115
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1342207732123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342207739607
started,bundle,org.jboss.tools.cdi.core,1.2.0.v20120611-1827-H85-Final,"org.jboss.tools.cdi.core",1342207740079
started,bundle,org.jboss.tools.cdi.seam.core,1.2.0.v20120611-1827-H85-Final,"org.jboss.tools.cdi.seam.core",1342207740700
started,bundle,org.jboss.tools.jst.text.ext,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.text.ext",1342207740825
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1342207740897
started,bundle,org.eclipse.jst.jsf.common.runtime,1.1.0.v20100510,"org.eclipse.jst.jsf.common.runtime",1342207741252
started,bundle,org.jboss.tools.jsf.text.ext,3.3.0.v20120611-2148-H115-Final,"org.jboss.tools.jsf.text.ext",1342207741391
started,bundle,org.jboss.tools.cdi.text.ext,1.2.0.v20120611-1827-H85-Final,"org.jboss.tools.cdi.text.ext",1342207741514
started,bundle,org.jboss.tools.cdi.seam.text.ext,1.2.0.v20120611-1827-H85-Final,"org.jboss.tools.cdi.seam.text.ext",1342207741515
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1342207741684
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1342207746303
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342207748502
opened,editor,org.jboss.tools.jst.jsp,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1342207751062
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1342207751158
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342207751346
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1342207757887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342207763947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342207774256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342207780211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342207781539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342207784490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342207790043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342207791991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342207792944
started,bundle,com.google.gdt.eclipse.suite,2.6.1.v201205091048-rel-r37,"com.google.gdt.eclipse.suite",1342207796633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342207853292
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342207857025
opened,editor,org.jboss.tools.jst.jsp,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1342207857428
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1342207857521
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342207857695
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1342207859925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342207864287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342207866535
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1342207869857
