what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.hibernate.eclipse.console,3.4.0.v20120611-2017-H93-Final,"org.hibernate.eclipse.console",1342121103749
stopped,bundle,org.jboss.tools.maven.jbosspackaging,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.jbosspackaging",1342121103749
stopped,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.ui.mbeans",1342121103749
stopped,bundle,org.jboss.ide.eclipse.as.classpath.ui,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.classpath.ui",1342121103750
stopped,bundle,org.jboss.tools.maven.portlet,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.portlet",1342121103750
stopped,bundle,org.jboss.tools.portlet.ui,1.2.0.v20120611-2357-H92-Final,"org.jboss.tools.portlet.ui",1342121103750
stopped,bundle,org.jboss.tools.portlet.core,1.2.0.v20120611-2357-H92-Final,"org.jboss.tools.portlet.core",1342121103750
stopped,bundle,org.jboss.ide.eclipse.as.classpath.core,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.classpath.core",1342121103750
stopped,bundle,org.jboss.ide.eclipse.as.rse.ui,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.rse.ui",1342121103750
stopped,bundle,org.jboss.ide.eclipse.as.rse.core,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.rse.core",1342121103750
stopped,bundle,org.jboss.tools.openshift.express.ui,2.3.0.v20120613-1951-H135-Final,"org.jboss.tools.openshift.express.ui",1342121103750
stopped,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.archives.webtools",1342121103752
stopped,bundle,org.jboss.ide.eclipse.as.wtp.ui,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.wtp.ui",1342121103753
stopped,bundle,org.jboss.tools.maven.profiles.ui,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.profiles.ui",1342121103753
stopped,bundle,org.jboss.tools.maven.cdi,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.cdi",1342121103753
stopped,bundle,org.jboss.tools.maven.jaxrs,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.jaxrs",1342121103754
stopped,bundle,org.jboss.tools.maven.jpa,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.jpa",1342121103754
stopped,bundle,org.jboss.tools.maven.jsf,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.jsf",1342121103754
stopped,bundle,org.jboss.tools.maven.ui,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.ui",1342121103754
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.200.v201104061711,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1342121103755
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.2.2.v201103292152,"org.eclipse.jst.jsf.facesconfig.ui",1342121103756
stopped,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1342121103758
stopped,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1342121103758
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.2.100.v201104061711,"org.eclipse.jst.pagedesigner.jsf.ui",1342121103762
stopped,bundle,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner",1342121103764
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.2.100.v201104061711,"org.eclipse.jst.jsf.common.ui",1342121103765
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1342121103767
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.3.v201201121156,"org.eclipse.datatools.connectivity.oda.template.ui",1342121103767
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1342121103769
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1342121103771
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1342121103772
