what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342208653114
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1342208653794
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1342208677575
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.publish",1342208680420
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1342208683632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342208685677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342208723323
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342208728592
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1342208729625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342208739123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342208740764
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1342208744373
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1342208745916
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342208748001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342208752857
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1342208759876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342208759902
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1342208760339
error,log,,,"Server JBoss 5.1 Runtime Server failed to start.",1342208765194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342208765364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342208768254
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342208771383
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1342208773033
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1342208788537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342208792034
